,rates
AED,4.336898
AFN,101.320612
ALL,121.9251
AMD,580.755891
ANG,2.119177
AOA,738.258376
ARS,115.959172
AUD,1.601799
AWG,2.125235
AZN,2.009031
BAM,1.9608979999999998
BBD,2.383761
BDT,100.559383
BGN,1.9603169999999999
BHD,0.44501399999999997
BIF,2346.614087
BMD,1.180686
BND,1.585972
BOB,8.152168
BRL,6.151254
BSD,1.180651
BTC,2.6777525e-05
BTN,86.928556
BWP,12.945566
BYN,2.957744
BYR,23141.452126
BZD,2.37975
CAD,1.49378
CDF,2364.915216
CHF,1.087713
CLF,0.033482
CLP,923.93382
CNY,7.615893
COP,4523.858719
CRC,737.792981
CUC,1.180686
CUP,31.288188
CVE,110.571257
CZK,25.347019
DJF,210.183192
DKK,7.436324
DOP,67.052599
DZD,160.763418
EGP,18.537716
ERN,17.716144
ETB,53.437967
EUR,1.0
FJD,2.485277
FKP,0.853023
GBP,0.852745
GEL,3.67152
GGP,0.853023
GHS,7.137247
GIP,0.853022
GMD,61.395938
GNF,11541.209036
GTQ,9.139821
GYD,246.777766
HKD,9.185427
HNL,28.188877
HRK,7.477051
HTG,115.786235
HUF,349.579987
IDR,16814.803445
ILS,3.791191
IMP,0.853022
INR,86.885467
IQD,1723.211703
IRR,49813.156215
ISK,151.292972
JEP,0.853022
JMD,176.869096
JOD,0.837129
JPY,129.819408
KES,129.758327
KGS,100.121562
KHR,4820.742816
KMF,492.698262
KPW,1062.617717
KRW,1385.294481
KWD,0.355021
KYD,0.9838429999999999
KZT,503.51421
LAK,11328.685552
LBP,1802.908213
LKR,235.533907
LRD,202.135897
LSL,143.068828
LTL,3.486259
LVL,0.714186
LYD,5.33647
MAD,10.586623
MDL,20.772985
MGA,4636.893459
MKD,61.72276
MMK,2110.396175
MNT,3352.24925
MOP,9.459848
MRO,421.504818
MUR,49.895307
MVR,18.24168
MWK,959.267103
MXN,23.440249
MYR,4.926998
MZN,75.298298
NAD,17.161251
NGN,485.854523
NIO,41.444205
NOK,10.195557
NPR,139.084268
NZD,1.658734
OMR,0.45459299999999997
PAB,1.180661
PEN,4.845523
PGK,4.145413
PHP,58.898512
PKR,196.110402
PLN,4.548996
PYG,8152.237463
QAR,4.298927
RON,4.947788
RSD,117.880654
RUB,85.865061
RWF,1186.589765
SAR,4.428543
SBD,9.514047
SCR,15.188544
SDG,523.644374
SEK,10.166642
SGD,1.584286
SHP,1.62628
SLL,12190.586642
SOS,690.701455
SRD,25.228311
STD,24437.823296
SVC,10.330698
SYP,1484.64012
SZL,17.161262
THB,38.771966
TJS,13.381931
TMT,4.132402
TND,3.295
TOP,2.654242
TRY,9.960695
TTD,8.026143
TWD,32.684349
TZS,2737.879338
UAH,31.500409
UGX,4161.655266
USD,1.180686
UYU,50.412712
UZS,12574.309655
VEF,252466421089.50528
VND,26873.011281
VUV,131.80206
WST,3.022934
XAF,657.65663
XAG,0.049601
XAU,0.000658
XCD,3.190864
XDR,0.8281400000000001
XOF,657.642089
XPF,120.288047
YER,296.057374
ZAR,16.68677
ZMK,10627.596683
ZMW,19.214658
ZWL,380.180517
